timestamp,elapsed_seconds,cpu_percent,cpu_cores_active,cpu_cores_total,mem_used_gb,mem_total_gb,mem_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_util_percent,gpu_temp,disk_read_total,disk_write_total
2026-02-04 15:01:34,0.160841703414917,0.4,0,28,3.774158477783203,15.428844451904297,24.5,1904.0,8192.0,2.0,35.0,0,0
2026-02-04 15:01:36,2.323794364929199,0.4,0,28,3.7802581787109375,15.428844451904297,24.5,1888.0,8192.0,2.0,35.0,0,135168
2026-02-04 15:01:38,4.4799933433532715,0.4,0,28,3.7785873413085938,15.428844451904297,24.5,1888.0,8192.0,4.0,35.0,0,278528
2026-02-04 15:01:40,6.62928318977356,0.0,0,28,3.7815475463867188,15.428844451904297,24.5,1876.0,8192.0,7.000000000000001,35.0,0,581632
2026-02-04 15:01:42,8.83274793624878,0.0,0,28,3.7821426391601562,15.428844451904297,24.5,1876.0,8192.0,0.0,37.0,0,638976
2026-02-04 15:01:44,11.017029047012329,0.0,0,28,3.781726837158203,15.428844451904297,24.5,1876.0,8192.0,2.0,36.0,0,753664
2026-02-04 15:01:47,13.181911706924438,0.7,0,28,3.786956787109375,15.428844451904297,24.5,1876.0,8192.0,2.0,35.0,0,868352
2026-02-04 15:01:49,15.35994839668274,0.4,0,28,3.786937713623047,15.428844451904297,24.5,1876.0,8192.0,2.0,35.0,4096,1118208
2026-02-04 15:01:51,17.561831951141357,0.0,0,28,3.7885475158691406,15.428844451904297,24.6,1876.0,8192.0,2.0,35.0,4096,1318912
2026-02-04 15:01:53,19.735919713974,0.0,0,28,3.7881546020507812,15.428844451904297,24.6,1876.0,8192.0,2.0,35.0,4096,1421312
2026-02-04 15:01:55,21.902595043182373,0.0,0,28,3.7813758850097656,15.428844451904297,24.5,1902.0,8192.0,76.0,35.0,4096,1523712
2026-02-04 15:01:58,24.090932607650757,0.0,1,28,3.8335838317871094,15.428844451904297,24.8,2173.0,8192.0,14.000000000000002,37.0,2666496,1576960
2026-02-04 15:02:00,26.266626596450806,0.0,0,28,3.8341903686523438,15.428844451904297,24.9,1863.0,8192.0,5.0,35.0,2666496,1687552
2026-02-04 15:02:02,28.423199892044067,3.2,0,28,3.8357315063476562,15.428844451904297,24.9,2268.0,8192.0,6.0,37.0,2686976,3399680
2026-02-04 15:02:04,30.560333967208862,3.9,3,28,5.202156066894531,15.428844451904297,33.7,2309.0,8192.0,13.0,37.0,2691072,4980736
2026-02-04 15:02:06,32.71269154548645,3.6,2,28,6.005424499511719,15.428844451904297,38.9,2246.0,8192.0,1.0,37.0,133877760,5357568
2026-02-04 15:02:08,34.84534168243408,3.2,1,28,6.437000274658203,15.428844451904297,41.7,2138.0,8192.0,1.0,37.0,321441792,5570560
2026-02-04 15:02:10,36.977412700653076,3.9,1,28,6.903076171875,15.428844451904297,44.7,1929.0,8192.0,6.0,36.0,519753728,5677056
2026-02-04 15:02:13,39.11141514778137,3.6,1,28,7.386417388916016,15.428844451904297,47.9,2146.0,8192.0,1.0,37.0,524693504,5722112
2026-02-04 15:02:15,41.2546591758728,3.6,1,28,8.008800506591797,15.428844451904297,51.9,1955.0,8192.0,4.0,36.0,524693504,5820416
2026-02-04 15:02:17,43.385619163513184,4.6,1,28,8.263011932373047,15.428844451904297,53.6,3722.0,8192.0,40.0,40.0,524693504,5992448
2026-02-04 15:02:19,45.54224920272827,3.6,1,28,8.264629364013672,15.428844451904297,53.6,3674.0,8192.0,42.0,41.0,524693504,6275072
2026-02-04 15:02:21,47.68880605697632,3.6,1,28,8.269027709960938,15.428844451904297,53.6,3486.0,8192.0,35.0,41.0,524693504,6504448
2026-02-04 15:02:23,49.82058668136597,3.9,1,28,8.270683288574219,15.428844451904297,53.6,3564.0,8192.0,34.0,42.0,524693504,6651904
2026-02-04 15:02:25,51.95273995399475,5.6,1,28,8.273880004882812,15.428844451904297,53.6,3372.0,8192.0,39.0,41.0,524693504,6750208
2026-02-04 15:02:28,54.084659814834595,3.6,2,28,8.273448944091797,15.428844451904297,53.6,3551.0,8192.0,36.0,42.0,524693504,6799360
2026-02-04 15:02:30,56.216245889663696,3.6,1,28,8.277324676513672,15.428844451904297,53.6,3360.0,8192.0,35.0,42.0,524693504,6909952
2026-02-04 15:02:32,58.347944021224976,3.6,2,28,8.278450012207031,15.428844451904297,53.7,3586.0,8192.0,42.0,41.0,524693504,7016448
2026-02-04 15:02:34,60.486637353897095,3.6,1,28,8.28104019165039,15.428844451904297,53.7,3360.0,8192.0,45.0,42.0,524693504,7065600
2026-02-04 15:02:36,62.616084814071655,3.9,2,28,8.28155517578125,15.428844451904297,53.7,3360.0,8192.0,38.0,43.0,524693504,7487488
