timestamp,elapsed_seconds,cpu_percent,cpu_cores_active,cpu_cores_total,mem_used_gb,mem_total_gb,mem_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_util_percent,gpu_temp,disk_read_total,disk_write_total
2026-02-04 15:11:24,0.1511993408203125,0.4,0,28,4.719654083251953,15.428844451904297,30.6,1502.0,8192.0,2.0,35.0,0,0
2026-02-04 15:11:26,2.3066935539245605,0.4,0,28,4.724140167236328,15.428844451904297,30.6,1493.0,8192.0,6.0,35.0,0,65536
2026-02-04 15:11:28,4.465776681900024,0.4,0,28,4.722572326660156,15.428844451904297,30.6,1654.0,8192.0,3.0,37.0,0,139264
2026-02-04 15:11:30,6.660484552383423,0.0,0,28,4.724925994873047,15.428844451904297,30.6,1613.0,8192.0,7.000000000000001,36.0,0,245760
2026-02-04 15:11:32,8.825151205062866,0.0,0,28,4.7225799560546875,15.428844451904297,30.6,1602.0,8192.0,81.0,36.0,0,356352
2026-02-04 15:11:34,10.981786489486694,0.4,0,28,4.723209381103516,15.428844451904297,30.6,1580.0,8192.0,3.0,36.0,0,413696
2026-02-04 15:11:37,13.138265609741211,0.0,0,28,4.724132537841797,15.428844451904297,30.6,1581.0,8192.0,36.0,35.0,4096,512000
2026-02-04 15:11:39,15.323084592819214,0.4,0,28,4.720119476318359,15.428844451904297,30.6,1581.0,8192.0,5.0,35.0,4096,618496
2026-02-04 15:11:41,17.50761389732361,1.1,0,28,4.724147796630859,15.428844451904297,30.6,1581.0,8192.0,6.0,35.0,4096,729088
2026-02-04 15:11:43,19.66736125946045,0.0,0,28,4.724811553955078,15.428844451904297,30.6,1648.0,8192.0,12.0,37.0,4096,782336
2026-02-04 15:11:45,21.82709813117981,0.4,0,28,4.724742889404297,15.428844451904297,30.6,1614.0,8192.0,12.0,36.0,4096,876544
2026-02-04 15:11:47,23.96237349510193,5.6,3,28,5.563529968261719,15.428844451904297,36.1,2068.0,8192.0,17.0,37.0,81920,3604480
2026-02-04 15:11:50,26.09430766105652,3.6,2,28,6.9490966796875,15.428844451904297,45.0,1896.0,8192.0,9.0,37.0,81920,3743744
2026-02-04 15:11:52,28.24036478996277,7.1,3,28,7.5704498291015625,15.428844451904297,49.1,2169.0,8192.0,13.0,38.0,204800,7344128
2026-02-04 15:11:54,30.373228788375854,7.1,3,28,9.993675231933594,15.428844451904297,64.8,2268.0,8192.0,2.0,38.0,204800,7958528
2026-02-04 15:11:56,32.58141779899597,9.1,3,28,11.126232147216797,15.428844451904297,72.1,1990.0,8192.0,1.0,37.0,1007616,37756928
2026-02-04 15:11:58,34.77896189689636,7.5,5,28,12.265556335449219,15.428844451904297,79.5,3524.0,8192.0,38.0,40.0,35299328,44535808
2026-02-04 15:12:00,36.91104006767273,7.1,4,28,12.616813659667969,15.428844451904297,81.8,3524.0,8192.0,37.0,41.0,185974784,60862464
2026-02-04 15:12:03,39.05698537826538,7.4,4,28,13.017242431640625,15.428844451904297,84.4,3505.0,8192.0,36.0,40.0,352002048,74002432
2026-02-04 15:12:05,41.198517084121704,7.1,3,28,13.569072723388672,15.428844451904297,87.9,5039.0,8192.0,76.0,41.0,555237376,90624000
2026-02-04 15:12:07,43.33045792579651,7.5,3,28,13.574333190917969,15.428844451904297,88.0,5039.0,8192.0,82.0,42.0,556535808,90730496
2026-02-04 15:12:09,45.458489418029785,7.1,3,28,13.575897216796875,15.428844451904297,88.0,5039.0,8192.0,78.0,43.0,556638208,90841088
2026-02-04 15:12:11,47.586373805999756,7.1,2,28,13.57828140258789,15.428844451904297,88.0,5039.0,8192.0,81.0,44.0,556765184,90963968
2026-02-04 15:12:13,49.71878123283386,7.1,2,28,13.57883071899414,15.428844451904297,88.0,5039.0,8192.0,78.0,43.0,557256704,91021312
2026-02-04 15:12:15,51.850133657455444,7.1,2,28,13.581809997558594,15.428844451904297,88.0,5031.0,8192.0,69.0,43.0,557375488,91123712
2026-02-04 15:12:17,53.98182415962219,7.1,2,28,13.583892822265625,15.428844451904297,88.0,5031.0,8192.0,75.0,44.0,596087808,93233152
2026-02-04 15:12:20,56.11208438873291,7.5,2,28,13.584178924560547,15.428844451904297,88.0,5031.0,8192.0,67.0,44.0,597570560,93384704
2026-02-04 15:12:22,58.251951694488525,7.1,3,28,13.581657409667969,15.428844451904297,88.0,5031.0,8192.0,79.0,45.0,598918144,93474816
2026-02-04 15:12:24,60.383909940719604,7.1,2,28,13.583965301513672,15.428844451904297,88.0,5031.0,8192.0,88.0,45.0,599016448,93581312
2026-02-04 15:12:26,62.51511573791504,8.1,4,28,13.598457336425781,15.428844451904297,88.1,5031.0,8192.0,81.0,45.0,653388800,95326208
2026-02-04 15:12:28,64.65062141418457,7.5,3,28,13.602130889892578,15.428844451904297,88.2,5031.0,8192.0,77.0,45.0,653904896,95383552
2026-02-04 15:12:30,66.78394436836243,7.1,2,28,13.60428237915039,15.428844451904297,88.2,5031.0,8192.0,79.0,46.0,656583680,95490048
2026-02-04 15:12:32,68.91688299179077,7.9,4,28,13.60653305053711,15.428844451904297,88.2,5031.0,8192.0,74.0,46.0,656649216,96927744
2026-02-04 15:12:35,71.04822826385498,7.5,3,28,13.608589172363281,15.428844451904297,88.2,5031.0,8192.0,79.0,46.0,656653312,97030144
2026-02-04 15:12:37,73.17891311645508,8.5,2,28,13.61111831665039,15.428844451904297,88.2,5031.0,8192.0,71.0,47.0,656657408,97136640
2026-02-04 15:12:39,75.31409525871277,7.1,3,28,13.614234924316406,15.428844451904297,88.2,5031.0,8192.0,75.0,47.0,656841728,97239040
2026-02-04 15:12:41,77.44561648368835,7.5,3,28,13.616279602050781,15.428844451904297,88.3,5031.0,8192.0,83.0,47.0,656964608,97296384
2026-02-04 15:12:43,79.57594347000122,7.8,4,28,13.618534088134766,15.428844451904297,88.3,5031.0,8192.0,79.0,47.0,657435648,97398784
2026-02-04 15:12:45,81.70700359344482,7.1,2,28,13.615249633789062,15.428844451904297,88.2,5031.0,8192.0,71.0,47.0,669809664,97505280
2026-02-04 15:12:47,83.83853054046631,7.1,2,28,13.621097564697266,15.428844451904297,88.3,5031.0,8192.0,69.0,48.0,672757760,98279424
2026-02-04 15:12:49,85.9781391620636,7.5,2,28,13.624771118164062,15.428844451904297,88.3,5031.0,8192.0,69.0,48.0,672757760,98361344
2026-02-04 15:12:52,88.10829329490662,7.1,3,28,13.62942123413086,15.428844451904297,88.3,5031.0,8192.0,70.0,48.0,678184960,98459648
2026-02-04 15:12:54,90.23881006240845,7.5,3,28,13.625041961669922,15.428844451904297,88.3,5031.0,8192.0,89.0,48.0,678291456,98574336
2026-02-04 15:12:56,92.37045860290527,7.1,3,28,13.629535675048828,15.428844451904297,88.3,5031.0,8192.0,82.0,49.0,678651904,99864576
2026-02-04 15:12:58,94.50232005119324,7.4,3,28,13.629596710205078,15.428844451904297,88.3,5031.0,8192.0,79.0,48.0,678651904,99971072
2026-02-04 15:13:00,96.63512372970581,8.1,2,28,13.632564544677734,15.428844451904297,88.4,5031.0,8192.0,75.0,49.0,678774784,100077568
2026-02-04 15:13:02,98.76497673988342,7.5,2,28,13.635063171386719,15.428844451904297,88.4,5031.0,8192.0,79.0,49.0,678774784,100188160
2026-02-04 15:13:04,100.89502096176147,7.5,2,28,13.637191772460938,15.428844451904297,88.4,5031.0,8192.0,81.0,48.0,678774784,100245504
2026-02-04 15:13:07,103.02937912940979,7.2,2,28,13.640022277832031,15.428844451904297,88.4,5031.0,8192.0,76.0,49.0,678893568,100352000
2026-02-04 15:13:09,105.16979885101318,7.1,2,28,13.64181900024414,15.428844451904297,88.4,5031.0,8192.0,85.0,49.0,678893568,100450304
2026-02-04 15:13:11,107.3220911026001,7.1,2,28,13.649486541748047,15.428844451904297,88.5,5031.0,8192.0,76.0,49.0,678991872,100499456
2026-02-04 15:13:13,109.45288586616516,7.1,2,28,13.647876739501953,15.428844451904297,88.5,5031.0,8192.0,79.0,50.0,679114752,100708352
2026-02-04 15:13:15,111.58589124679565,7.1,3,28,13.652034759521484,15.428844451904297,88.5,5031.0,8192.0,63.0,50.0,679163904,101486592
2026-02-04 15:13:17,113.71845126152039,7.1,2,28,13.652278900146484,15.428844451904297,88.5,5031.0,8192.0,71.0,49.0,679233536,101605376
2026-02-04 15:13:19,115.85103464126587,7.1,2,28,13.654788970947266,15.428844451904297,88.5,5031.0,8192.0,78.0,50.0,679233536,101654528
2026-02-04 15:13:21,117.98107171058655,7.1,2,28,13.656242370605469,15.428844451904297,88.5,5031.0,8192.0,72.0,50.0,679360512,101756928
2026-02-04 15:13:24,120.11100435256958,7.5,2,28,13.658401489257812,15.428844451904297,88.5,5031.0,8192.0,68.0,49.0,679380992,101859328
2026-02-04 15:13:26,122.24791502952576,12.3,4,28,13.660491943359375,15.428844451904297,88.5,5031.0,8192.0,81.0,50.0,752175104,103677952
2026-02-04 15:13:28,124.4084005355835,7.5,3,28,13.663070678710938,15.428844451904297,88.6,5031.0,8192.0,69.0,50.0,752175104,103796736
2026-02-04 15:13:30,126.53801250457764,7.4,3,28,13.667518615722656,15.428844451904297,88.6,5031.0,8192.0,75.0,50.0,752637952,103931904
2026-02-04 15:13:32,128.668621301651,7.8,3,28,13.671279907226562,15.428844451904297,88.6,5031.0,8192.0,75.0,50.0,753485824,104783872
2026-02-04 15:13:34,130.8012535572052,7.5,2,28,13.673500061035156,15.428844451904297,88.6,5031.0,8192.0,74.0,51.0,753485824,104841216
2026-02-04 15:13:36,132.93550992012024,7.1,2,28,13.677444458007812,15.428844451904297,88.6,5031.0,8192.0,72.0,50.0,753489920,106524672
2026-02-04 15:13:39,135.06616854667664,7.1,2,28,13.6802978515625,15.428844451904297,88.7,5031.0,8192.0,77.0,51.0,753494016,106758144
2026-02-04 15:13:41,137.19772243499756,7.5,2,28,13.683135986328125,15.428844451904297,88.7,5031.0,8192.0,72.0,51.0,753612800,106807296
2026-02-04 15:13:43,139.33052968978882,6.8,2,28,13.68499755859375,15.428844451904297,88.7,5031.0,8192.0,76.0,51.0,753612800,106909696
2026-02-04 15:13:45,141.46711325645447,7.5,2,28,13.689109802246094,15.428844451904297,88.7,5031.0,8192.0,84.0,50.0,753612800,107008000
2026-02-04 15:13:47,143.60239338874817,7.1,2,28,13.69063949584961,15.428844451904297,88.7,5031.0,8192.0,77.0,51.0,765122560,107393024
2026-02-04 15:13:49,145.73498368263245,7.1,2,28,13.691062927246094,15.428844451904297,88.7,5031.0,8192.0,74.0,51.0,765122560,107458560
2026-02-04 15:13:51,147.86682438850403,7.5,2,28,13.688018798828125,15.428844451904297,88.7,5031.0,8192.0,77.0,51.0,765122560,107548672
2026-02-04 15:13:54,149.99886512756348,7.1,2,28,13.68941879272461,15.428844451904297,88.7,5031.0,8192.0,74.0,51.0,765122560,107646976
2026-02-04 15:13:56,152.1344757080078,7.1,2,28,13.693435668945312,15.428844451904297,88.8,5031.0,8192.0,82.0,51.0,765122560,107704320
2026-02-04 15:13:58,154.26695585250854,6.8,2,28,13.69546127319336,15.428844451904297,88.8,5031.0,8192.0,71.0,51.0,765212672,107802624
2026-02-04 15:14:00,156.40789580345154,7.1,2,28,13.696037292480469,15.428844451904297,88.8,5031.0,8192.0,82.0,52.0,765212672,107892736
2026-02-04 15:14:02,158.54205417633057,7.1,4,28,13.696296691894531,15.428844451904297,88.8,5031.0,8192.0,78.0,52.0,765212672,107945984
2026-02-04 15:14:04,160.6738018989563,7.4,2,28,13.69607925415039,15.428844451904297,88.8,5031.0,8192.0,76.0,51.0,765212672,108138496
2026-02-04 15:14:06,162.80772471427917,7.1,3,28,13.697650909423828,15.428844451904297,88.8,5031.0,8192.0,64.0,51.0,765212672,108253184
2026-02-04 15:14:08,164.95185208320618,7.1,3,28,13.701148986816406,15.428844451904297,88.8,5031.0,8192.0,78.0,51.0,765212672,108351488
2026-02-04 15:14:11,167.0845069885254,7.1,4,28,13.703289031982422,15.428844451904297,88.8,5031.0,8192.0,81.0,52.0,765241344,108408832
2026-02-04 15:14:13,169.21639776229858,6.8,2,28,13.702205657958984,15.428844451904297,88.8,5031.0,8192.0,75.0,52.0,765241344,108519424
2026-02-04 15:14:15,171.35638523101807,7.5,4,28,13.708209991455078,15.428844451904297,88.8,5031.0,8192.0,82.0,52.0,765294592,110186496
2026-02-04 15:14:17,173.48280549049377,7.1,3,28,13.708488464355469,15.428844451904297,88.8,5039.0,8192.0,71.0,52.0,776427520,110272512
2026-02-04 15:14:19,175.61334538459778,8.5,3,28,13.711734771728516,15.428844451904297,88.9,5039.0,8192.0,63.0,51.0,776427520,110370816
2026-02-04 15:14:21,177.74535703659058,7.5,2,28,13.717227935791016,15.428844451904297,88.9,5031.0,8192.0,75.0,52.0,776427520,110841856
2026-02-04 15:14:23,179.87955856323242,7.5,2,28,13.71683120727539,15.428844451904297,88.9,5031.0,8192.0,79.0,51.0,776902656,110948352
2026-02-04 15:14:26,182.01111507415771,7.5,3,28,13.718097686767578,15.428844451904297,88.9,5031.0,8192.0,72.0,52.0,777017344,110997504
2026-02-04 15:14:28,184.1430127620697,7.1,2,28,13.721363067626953,15.428844451904297,88.9,5031.0,8192.0,73.0,52.0,777373696,111095808
2026-02-04 15:14:30,186.2755732536316,7.8,2,28,13.729389190673828,15.428844451904297,89.0,5031.0,8192.0,71.0,52.0,777373696,111194112
2026-02-04 15:14:32,188.42466139793396,7.1,2,28,13.736675262451172,15.428844451904297,89.0,5031.0,8192.0,75.0,52.0,777373696,111259648
2026-02-04 15:14:34,190.5568563938141,7.5,3,28,13.74045181274414,15.428844451904297,89.1,5031.0,8192.0,79.0,52.0,777480192,112861184
2026-02-04 15:14:36,192.69350147247314,6.8,2,28,13.747474670410156,15.428844451904297,89.1,5031.0,8192.0,78.0,52.0,777480192,112992256
2026-02-04 15:14:38,194.82571053504944,7.1,2,28,13.745628356933594,15.428844451904297,89.1,5031.0,8192.0,76.0,52.0,782772224,113098752
2026-02-04 15:14:40,196.95715641975403,8.5,3,28,13.754375457763672,15.428844451904297,89.1,5031.0,8192.0,75.0,52.0,782772224,113156096
2026-02-04 15:14:43,199.09028029441833,7.4,3,28,13.754280090332031,15.428844451904297,89.1,5031.0,8192.0,74.0,51.0,782772224,113262592
2026-02-04 15:14:45,201.22719478607178,7.1,4,28,13.757774353027344,15.428844451904297,89.2,5031.0,8192.0,75.0,52.0,782772224,113709056
2026-02-04 15:14:47,203.35466814041138,7.1,5,28,13.761131286621094,15.428844451904297,89.2,5031.0,8192.0,81.0,52.0,782772224,113778688
2026-02-04 15:14:49,205.49188828468323,7.4,2,28,13.762996673583984,15.428844451904297,89.2,5031.0,8192.0,78.0,53.0,782772224,113876992
2026-02-04 15:14:51,207.63218307495117,7.1,3,28,13.740501403808594,15.428844451904297,89.1,5031.0,8192.0,81.0,52.0,782825472,113971200
2026-02-04 15:14:53,209.7598171234131,8.5,3,28,13.743057250976562,15.428844451904297,89.1,5031.0,8192.0,89.0,52.0,782858240,114069504
2026-02-04 15:14:55,211.88847064971924,7.1,2,28,13.745643615722656,15.428844451904297,89.1,5031.0,8192.0,71.0,52.0,782858240,114126848
2026-02-04 15:14:58,214.01874136924744,7.1,4,28,13.7449951171875,15.428844451904297,89.1,5031.0,8192.0,83.0,52.0,782862336,114225152
2026-02-04 15:15:00,216.14859127998352,7.4,2,28,13.74869155883789,15.428844451904297,89.1,5031.0,8192.0,83.0,52.0,782931968,114323456
2026-02-04 15:15:02,218.27603363990784,7.1,3,28,13.751873016357422,15.428844451904297,89.1,5031.0,8192.0,78.0,53.0,782931968,114470912
2026-02-04 15:15:04,220.419086933136,7.1,2,28,13.755420684814453,15.428844451904297,89.2,5031.0,8192.0,76.0,52.0,782931968,114593792
2026-02-04 15:15:06,222.55081868171692,6.8,3,28,13.758323669433594,15.428844451904297,89.2,5031.0,8192.0,77.0,52.0,782931968,114696192
2026-02-04 15:15:08,224.6834056377411,8.1,3,28,13.762229919433594,15.428844451904297,89.2,5031.0,8192.0,71.0,52.0,782931968,114798592
2026-02-04 15:15:10,226.8136796951294,7.4,4,28,13.770172119140625,15.428844451904297,89.2,5031.0,8192.0,68.0,53.0,782948352,114843648
2026-02-04 15:15:12,228.94918775558472,7.1,2,28,13.77206039428711,15.428844451904297,89.3,5031.0,8192.0,71.0,52.0,782948352,114958336
2026-02-04 15:15:15,231.08531045913696,7.1,2,28,13.769577026367188,15.428844451904297,89.2,5031.0,8192.0,73.0,53.0,782952448,115056640
2026-02-04 15:15:17,233.2166883945465,7.1,2,28,13.774761199951172,15.428844451904297,89.3,5031.0,8192.0,68.0,52.0,782952448,115367936
2026-02-04 15:15:19,235.350932598114,7.1,2,28,13.778629302978516,15.428844451904297,89.3,5031.0,8192.0,74.0,52.0,782952448,116912128
2026-02-04 15:15:21,237.49119567871094,7.1,2,28,13.777240753173828,15.428844451904297,89.3,5031.0,8192.0,70.0,52.0,782952448,117022720
2026-02-04 15:15:23,239.6250774860382,7.1,2,28,13.778148651123047,15.428844451904297,89.3,5031.0,8192.0,77.0,53.0,782952448,117075968
2026-02-04 15:15:25,241.75657749176025,7.1,3,28,13.782962799072266,15.428844451904297,89.3,5031.0,8192.0,71.0,53.0,782952448,117161984
2026-02-04 15:15:27,243.8896186351776,6.8,4,28,13.7908935546875,15.428844451904297,89.4,5031.0,8192.0,75.0,52.0,783468544,117256192
2026-02-04 15:15:30,246.0220124721527,7.5,3,28,13.796104431152344,15.428844451904297,89.4,5031.0,8192.0,67.0,52.0,783468544,117678080
2026-02-04 15:15:32,248.15436244010925,7.1,3,28,13.792957305908203,15.428844451904297,89.4,5031.0,8192.0,74.0,52.0,783468544,117731328
